District,AverageSellPrice,AverageRentPrice,HM,Locations,Area,CrimeRate,PurchasePower,PopulationDensity,TotalCrimes,Security
 Aveiro,219870.63728058685,1366.603988603989,80880, Aveiro,197.58,28.8,123.09,409.3531733981172,2329.344,9.712
 Beja,109145.30118289354,434.7058823529412,33401, Beja,1146.48,27.8,105.31,29.13352173609657,928.5478,9.722000000000001
 Braga,206622.2224239673,949.3079777365492,193333, Braga,183.4,25.4,106.97,1054.1603053435117,4910.6582,9.746
 Bragança,131176.25268817204,330.7142857142857,34580, Bragança,1173.57,24.5,96.5,29.46564755404449,847.21,9.755
 Castelo Branco,102162.91875825627,383.7068965517241,330, Castelo Branco,1438.19,27.3,95.84,0.2294550789534067,9.009,9.727
 Coimbra,168706.73416331015,561.6193181818181,140796, Coimbra,319.4,24.2,128.71,440.8140262993113,3407.2632,9.758
 Faro,320625.7134624251,1614.196113074205,67566, Faro,202.57,46.9,132.5,333.5439601125537,3168.8454,9.531
 Guarda,100040.6849557522,426.6666666666667,26471, Guarda,712.1,19.9,96.2,37.17314983850583,526.7728999999999,9.801
 Leiria,201647.36282998943,515.8835616438356,128640, Leiria,565.09,22.2,103.43,227.6451538692952,2855.808,9.777999999999999
 Lisboa,359396.5619152449,1721.08362689539,544851, Lisboa,100.05,49.7,219.63,5445.787106446777,27079.0947,9.503
 Portalegre,81028.89830508475,407.27272727272725,22368, Portalegre,447.14,23.0,104.12,50.02460079617122,514.464,9.77
 Porto,273876.9323131627,1548.243337563452,231962, Porto,41.42,56.2,157.82,5600.241429261227,13036.2644,9.437999999999999
 Santarém,134654.67032474803,531.2704918032787,58770, Santarém,552.54,28.2,101.4,106.3633402106635,1657.314,9.718
 Setúbal,252136.7303612286,958.8928571428572,123684, Setúbal,230.33,34.4,107.54,48.1269334,4254.7296,9.656
 Viana do Castelo,203477.22355975924,503.8732394366197,85864, Viana do Castelo,319.02,26.5,93.09,269.1492696382672,2275.396,9.735
 Vila Real,138337.52408477842,474.0,17375, Vila Real,378.8,22.4,98.13,45.86853220696938,389.2,9.776
 Viseu,148041.3984962406,507.57142857142856,25876, Viseu,507.1,22.7,94.41,51.02741076710708,587.3851999999999,9.773
 Évora,128741.5773955774,516.04,53568, Évora,1307.08,20.6,117.31,40.98295437157634,1103.5008,9.794
